COSMOS;2251;;;;;;;
1;22675U;93036A;16151.58249;0.00000011;00000-0;13549-4;0;9991
2;22675;74.0383;194.3526;24225;44.3708;315.9378;14.32474316;
COSMOS;2251;DEB;;;;;;
1;33757U;93036E;16150.84533;0;00000-0;96500-5;0;9995
2;33757;74.0357;198.8358;15436;336.7861;138.7891;14.31953448;
COSMOS;2251;DEB;;;;;;
1;33758U;93036F;16152.24393;0.00000496;00000-0;17379-3;0;9998
2;33758;74.0328;179.7357;21708;11.4121;68.6885;14.37578223;
COSMOS;2251;DEB;;;;;;
1;33759U;93036G;16151.16174;0.00001956;00000-0;54126-3;0;9991
2;33759;74.0195;144.4351;20638;0.6573;96.658;14.47210982;
COSMOS;2251;DEB;;;;;;
1;33760U;93036H;16150.79672;0.00000045;00000-0;25249-4;0;9992
2;33760;74.0308;183.2183;19974;45.7799;71.4574;14.34103423;
COSMOS;2251;DEB;;;;;;
1;33761U;93036J;16152.13829;0.00000308;00000-0;11479-3;0;9997
2;33761;74.0372;180.5766;24411;32.3769;22.5326;14.35901971;
COSMOS;2251;DEB;;;;;;
1;33762U;93036K;16150.59455;0.00000004;00000-0;10820-4;0;9994
2;33762;74.0407;193.7951;14988;26.0679;128.898;14.3289172;
COSMOS;2251;DEB;;;;;;
1;33763U;93036L;16150.94133;0.00003657;00000-0;85679-3;0;9994
2;33763;73.9398;118.0094;17801;317.2798;101.0641;14.54840042;
COSMOS;2251;DEB;;;;;;
1;33764U;93036M;16151.58913;0.00000241;00000-0;94259-4;0;9998
2;33764;74.034;186.116;26468;278.8413;200.756;14.3467053;
COSMOS;2251;DEB;;;;;;
1;33765U;93036N;16152.21644;0.00000983;00000-0;18459-3;0;9990
2;33765;74.0209;61.7808;166119;306.4122;217.1101;14.57731224;
COSMOS;2251;DEB;;;;;;
1;33766U;93036P;16151.53647;0.00000253;00000-0;10854-3;0;9998
2;33766;74.1895;287.0356;70050;30.7042;329.8177;14.28125641;
COSMOS;2251;DEB;;;;;;
1;33768U;93036R;16152.20849;0.00000121;00000-0;13149-3;0;9992
2;33768;74.0727;61.6627;377140;271.0168;203.9353;13.55647238;
COSMOS;2251;DEB;;;;;;
1;33770U;93036T;16151.24112;0.00002729;00000-0;65143-3;0;9990
2;33770;74.0341;118.3195;41456;346.9205;119.3636;14.53654675;
COSMOS;2251;DEB;;;;;;
1;33779U;93036U;16151.21146;0.00001134;00000-0;36795-3;0;9992
2;33779;74.0485;186.6452;29883;10.1528;55.9201;14.39819611;
COSMOS;2251;DEB;;;;;;
1;33782U;93036X;16150.55386;0.00000154;00000-0;63682-4;0;9994
2;33782;74.0345;193.2829;22206;27.0223;122.2723;14.34405852;
COSMOS;2251;DEB;;;;;;
1;33784U;93036Z;16151.23805;0.00000883;00000-0;17177-3;0;9991
2;33784;74.2052;63.1357;58619;233.6947;248.5586;14.6360183;
COSMOS;2251;DEB;;;;;;
1;33785U;93036AA;16150.94622;0.00000987;00000-0;32091-3;0;9999
2;33785;73.8831;143.028;30498;85.7385;296.8468;14.39921312;
COSMOS;2251;DEB;;;;;;
1;33789U;93036AE;16152.22632;0.00000141;00000-0;11330-3;0;9996
2;33789;74.0649;210.7755;248118;51.9171;3.0563;13.85009862;
COSMOS;2251;DEB;;;;;;
1;33791U;93036AG;16151.8416;0.00000734;00000-0;27617-3;0;9995
2;33791;74.1773;250.0051;34978;340.0147;158.4457;14.3289483;
COSMOS;2251;DEB;;;;;;
1;33792U;93036AH;16151.36091;0.00000264;00000-0;28508-3;0;9999
2;33792;73.9011;121.1332;439562;86.0816;23.6207;13.41776975;
COSMOS;2251;DEB;;;;;;
1;33793U;93036AJ;16151.53611;0.00000464;00000-0;22304-3;0;9991
2;33793;73.986;297.515;86853;149.9365;279.7829;14.19666868;
COSMOS;2251;DEB;;;;;;
1;33795U;93036AL;16151.69834;0.00001001;00000-0;18924-3;0;9991
2;33795;74.0466;358.1451;78061;267.534;165.101;14.63929658;
COSMOS;2251;DEB;;;;;;
1;33796U;93036AM;16151.85095;0.00004279;00000-0;10079-2;0;9997
2;33796;74.0267;216.4089;55784;10.3382;349.8913;14.536609;
COSMOS;2251;DEB;;;;;;
1;33797U;93036AN;16152.215;0.00000431;00000-0;11954-3;0;9994
2;33797;74.0509;92.9654;73841;341.1843;126.1795;14.48063739;
COSMOS;2251;DEB;;;;;;
1;33798U;93036AP;16152.08945;0.0000013;00000-0;45924-4;0;9999
2;33798;74.0296;120.7736;95013;14.1087;109.5714;14.41868088;
COSMOS;2251;DEB;;;;;;
1;33799U;93036AQ;16151.20253;0.00001419;00000-0;41676-3;0;9995
2;33799;74.0414;150.3944;42634;14.4253;84.7302;14.44182858;
COSMOS;2251;DEB;;;;;;
1;33804U;93036AV;16150.94625;0.00002493;00000-0;36052-3;0;9990
2;33804;74.023;332.2413;55749;251.1496;108.3628;14.75699288;
COSMOS;2251;DEB;;;;;;
1;33805U;93036AW;16151.84397;0.00000231;00000-0;62829-4;0;9995
2;33805;74.0345;49.0098;66427;26.4331;334.0192;14.51995121;
COSMOS;2251;DEB;;;;;;
1;33806U;93036AX;16150.85563;0.0000203;00000-0;37756-3;0;9999
2;33806;74.088;56.804;60478;270.5835;153.7428;14.64658455;
COSMOS;2251;DEB;;;;;;
1;33811U;93036BC;16151.90568;0.00000814;00000-0;15743-3;0;9999
2;33811;73.8535;301.2319;70569;23.4783;143.3881;14.63655184;
COSMOS;2251;DEB;;;;;;
1;33812U;93036BD;16151.83281;0.00014748;00000-0;10455-2;0;9994
2;33812;74.0181;322.6766;147252;185.005;174.9675;14.96359313;
COSMOS;2251;DEB;;;;;;
1;33813U;93036BE;16151.53501;0.00001405;00000-0;21629-3;0;9994
2;33813;74.0477;313.4515;97236;212.014;208.6526;14.71392092;
COSMOS;2251;DEB;;;;;;
1;33815U;93036BG;16151.64445;0.00001061;00000-0;37212-3;0;9997
