FENGYUN;1C;;;;;;;
1;25730U;99025A;16151.51814;0.0000029;00000-0;17560-3;0;9991
2;25730;98.976;122.0669;17462;223.1053;251.2836;14.14229621;
FENGYUN;1C;DEB;;;;;;
1;29733U;99025X;16151.51257;0.00000455;00000-0;87018-3;0;9995
2;29733;99.2047;348.769;583142;269.5291;110.7479;12.91019027;
FENGYUN;1C;DEB;;;;;;
1;29734U;99025Y;16152.09542;0.00000066;00000-0;17888-3;0;9997
2;29734;99.1463;279.8852;635454;357.8172;49.5311;12.82692692;
FENGYUN;1C;DEB;;;;;;
1;29735U;99025Z;16151.80816;0.0000192;00000-0;36190-2;0;9997
2;29735;99.3737;273.2229;724714;257.3512;94.5667;12.66776014;
FENGYUN;1C;DEB;;;;;;
1;29736U;99025AA;16152.23867;-0.00000753;00000-0;-16495;0;9990
2;29736;99.4462;235.2533;737965;67.5634;5.2169;12.53497024;
FENGYUN;1C;DEB;;;;;;
1;29737U;99025AB;16151.89406;-0.00000652;00000-0;-13239;0;9998
2;29737;99.5872;296.9146;728098;55.3679;92.0464;12.58691808;
FENGYUN;1C;DEB;;;;;;
1;29738U;99025AC;16151.75014;0.00001834;00000-0;33790-2;0;9991
2;29738;99.4657;220.5374;840072;174.4633;186.6489;12.49157063;
FENGYUN;1C;DEB;;;;;;
1;29740U;99025AE;16151.76486;0.00001965;00000-0;51983-2;0;9993
2;29740;99.0459;245.0698;1010733;255.0959;93.6175;12.02167778;
FENGYUN;1C;DEB;;;;;;
1;29741U;99025AF;16152.24061;0.00000099;00000-0;34520-3;0;9991
2;29741;99.185;262.8689;1036163;5.3317;46.6881;11.9503545;
FENGYUN;1C;DEB;;;;;;
1;29746U;99025AL;16151.49149;0.00011597;00000-0;14976-1;0;9994
2;29746;99.4445;124.3963;1152560;37.2605;68.6276;12.11080973;
FENGYUN;1C;DEB;;;;;;
1;29748U;99025AN;16152.15482;-0.0000989;00000-0;-83374;0;9991
2;29748;100.347;228.6207;941309;0.4648;359.7063;11.44812682;
FENGYUN;1C;DEB;;;;;;
1;29750U;99025AQ;16151.60986;0.00000223;00000-0;15896-3;0;9994
2;29750;99.1073;160.3638;36419;348.5024;133.3374;14.07305671;
FENGYUN;1C;DEB;;;;;;
1;29751U;99025AR;16150.98525;0.00000095;00000-0;61169-4;0;9991
2;29751;98.8981;159.6087;92651;121.5202;302.1865;14.21530362;
FENGYUN;1C;DEB;;;;;;
1;29753U;99025AT;16151.33252;0.00002734;00000-0;71887-3;0;9990
2;29753;98.8853;284.6817;64502;80.8993;279.9489;14.48753318;
FENGYUN;1C;DEB;;;;;;
1;29754U;99025AU;16151.77513;0.0000033;00000-0;20910-3;0;9996
2;29754;98.9817;225.9422;38603;15.9066;107.0411;14.10438623;
FENGYUN;1C;DEB;;;;;;
1;29756U;99025AW;16151.3353;0.00001723;00000-0;54632-3;0;9993
2;29756;99.2436;37.7439;47490;225.8072;203.3134;14.40835006;
FENGYUN;1C;DEB;;;;;;
1;29758U;99025AY;16152.05738;0.00001033;00000-0;55221-3;0;9991
2;29758;98.9705;195.0626;29345;225.7668;192.4352;14.15271946;
FENGYUN;1C;DEB;;;;;;
1;29760U;99025BA;16152.01076;0.00000115;00000-0;89979-4;0;9995
2;29760;99.0135;175.5932;132846;232.238;126.6693;14.06368551;
FENGYUN;1C;DEB;;;;;;
1;29762U;99025BC;16151.10137;0.00000076;00000-0;47671-4;0;9993
2;29762;98.7218;192.3633;212839;337.1636;79.501;14.18894395;
FENGYUN;1C;DEB;;;;;;
1;29763U;99025BD;16151.8658;0.00000104;00000-0;84425-4;0;9995
2;29763;98.9084;197.0729;129677;262.3196;149.2121;14.05810954;
FENGYUN;1C;DEB;;;;;;
1;29765U;99025BF;16151.67857;0.00000046;00000-0;59731-4;0;9998
2;29765;99.1699;164.6912;53610;21.5952;44.9794;14.01480797;
FENGYUN;1C;DEB;;;;;;
1;29766U;99025BG;16151.34457;0.00000409;00000-0;33780-3;0;9992
2;29766;98.6757;286.6763;162641;140.2643;275.0415;13.88120634;
FENGYUN;1C;DEB;;;;;;
1;29767U;99025BH;16152.11799;0.00001227;00000-0;60412-3;0;9998
2;29767;98.2241;108.5044;390548;50.0729;74.0686;13.8587476;
FENGYUN;1C;DEB;;;;;;
1;29769U;99025BK;16150.86593;0.00000752;00000-0;50263-3;0;9996
2;29769;99.1213;120.4721;104239;61.6133;299.5493;14.01452901;
FENGYUN;1C;DEB;;;;;;
1;29770U;99025BL;16151.39393;0.00000414;00000-0;26948-3;0;9994
2;29770;99.0672;192.7415;73693;358.1439;122.6581;14.06746143;
FENGYUN;1C;DEB;;;;;;
1;29771U;99025BM;16150.87715;0.00005191;00000-0;24187-2;0;9991
2;29771;99.5024;312.5334;89740;260.4869;98.6154;14.18847713;
FENGYUN;1C;DEB;;;;;;
1;29772U;99025BN;16151.50367;0.00000387;00000-0;28994-3;0;9999
2;29772;98.4613;238.4006;146526;318.322;158.78;13.95006522;
FENGYUN;1C;DEB;;;;;;
1;29773U;99025BP;16151.79331;0.00000319;00000-0;16115-3;0;9996
2;29773;98.8054;238.2963;50268;267.3143;215.5412;14.22526285;
FENGYUN;1C;DEB;;;;;;
1;29774U;99025BQ;16151.33362;0.00000085;00000-0;60742-4;0;9995
2;29774;99.1221;289.0748;51122;335.2392;82.26;14.20661569;
FENGYUN;1C;DEB;;;;;;
1;29775U;99025BR;16151.78764;0.00005501;00000-0;72333-3;0;9996
2;29775;99.0254;80.9006;69627;154.6228;205.8426;14.78996896;
FENGYUN;1C;DEB;;;;;;
1;29776U;99025BS;16150.94126;0.00000007;00000-0;32175-4;0;9991
