IRIDIUM;33;;;;;;;
1;24946U;97051C;16151.3181;0.00000112;00000-0;33422-4;0;9992
2;24946;86.3885;87.0047;9813;58.356;301.8591;14.3349159;
IRIDIUM;33;DEB;;;;;;
1;33772U;97051K;16151.41806;0.00014099;00000-0;22011-2;0;9992
2;33772;86.4133;92.8436;30722;12.7445;126.3848;14.72456866;
IRIDIUM;33;DEB;;;;;;
1;33773U;97051L;16151.3591;0.00000287;00000-0;88318-4;0;9995
2;33773;86.4032;86.15;13832;86.8691;273.4089;14.37910641;
IRIDIUM;33;DEB;;;;;;
1;33775U;97051N;16151.21473;0.00000411;00000-0;13874-3;0;9997
2;33775;86.3694;82.1465;16340;50.771;74.9916;14.34490077;
IRIDIUM;33;DEB;;;;;;
1;33776U;97051P;16151.38335;0.00000301;00000-0;10168-3;0;9996
2;33776;86.4063;94.3596;16737;57.5197;60.4348;14.33565803;
IRIDIUM;33;DEB;;;;;;
1;33777U;97051Q;16151.33593;0.0000076;00000-0;23197-3;0;9996
2;33777;86.387;79.6614;2250;236.575;123.5235;14.4067674;
IRIDIUM;33;DEB;;;;;;
1;33849U;97051S;16152.17336;0.00004579;00000-0;13558-2;0;9997
2;33849;86.1078;26.2021;62084;238.1573;121.3574;14.42099623;
IRIDIUM;33;DEB;;;;;;
1;33850U;97051T;16151.86922;0.00000402;00000-0;13345-3;0;9998
2;33850;86.3462;73.5358;14552;56.073;11.5241;14.35196482;
IRIDIUM;33;DEB;;;;;;
1;33853U;97051W;16151.50488;0.00000329;00000-0;20138-3;0;9996
2;33853;86.0047;57.8957;243335;357.3225;54.4895;13.89496063;
IRIDIUM;33;DEB;;;;;;
1;33854U;97051X;16151.82343;0.00002874;00000-0;56609-3;0;9991
2;33854;86.2301;11.434;13600;10.8401;79.5898;14.62180433;
IRIDIUM;33;DEB;;;;;;
1;33855U;97051Y;16152.13852;0.00010093;00000-0;26552-2;0;9995
2;33855;86.3811;130.2066;86119;28.9198;331.6736;14.46782028;
IRIDIUM;33;DEB;;;;;;
1;33858U;97051AB;16151.58085;0.00010542;00000-0;12563-2;0;9998
2;33858;86.1368;338.0046;25140;246.0246;176.8575;14.83988943;
IRIDIUM;33;DEB;;;;;;
1;33859U;97051AC;16150.8294;-0.00000252;00000-0;-87893;0;9996
2;33859;86.3462;79.4502;47612;84.3281;358.2736;14.38703112;
IRIDIUM;33;DEB;;;;;;
1;33860U;97051AD;16151.18151;0.00000644;00000-0;18398-3;0;9992
2;33860;86.395;79.2575;17417;69.0555;39.4842;14.43552787;
IRIDIUM;33;DEB;;;;;;
1;33862U;97051AF;16151.8708;0.00000688;00000-0;18874-3;0;9990
2;33862;86.4167;83.956;50696;203.4264;217.7316;14.44927542;
IRIDIUM;33;DEB;;;;;;
1;33864U;97051AH;16151.21462;0.00001199;00000-0;31728-3;0;9996
2;33864;86.2804;43.5487;5666;272.1633;212.7837;14.48044138;
IRIDIUM;33;DEB;;;;;;
1;33865U;97051AJ;16151.85791;0.00003974;00000-0;81040-3;0;9996
2;33865;86.3494;62.4091;43891;5.452;84.6633;14.60142619;
IRIDIUM;33;DEB;;;;;;
1;33866U;97051AK;16152.09388;0.00000267;00000-0;12293-3;0;9991
2;33866;86.3015;103.0454;133984;18.7601;107.7202;14.12648442;
IRIDIUM;33;DEB;;;;;;
1;33867U;97051AL;16151.82389;0.00001636;00000-0;37724-3;0;9999
2;33867;86.4196;73.6796;31964;64.4093;296.0411;14.54416345;
IRIDIUM;33;DEB;;;;;;
1;33868U;97051AM;16151.44014;0.00069443;00000-0;29862-2;0;9990
2;33868;86.3126;24.2614;4987;75.3107;338.4125;15.22347441;
IRIDIUM;33;DEB;;;;;;
1;33869U;97051AN;16151.89347;0.00003376;00000-0;11023-2;0;9999
2;33869;86.3673;103.048;78410;175.9129;184.2726;14.3660214;
IRIDIUM;33;DEB;;;;;;
1;33870U;97051AP;16151.88315;0.00000566;00000-0;19333-3;0;9991
2;33870;86.3808;88.0709;26095;76.1668;346.9681;14.34424283;
IRIDIUM;33;DEB;;;;;;
1;33872U;97051AR;16151.65466;0.00032186;00000-0;20121-2;0;9999
2;33872;86.3061;23.2861;1202;267.765;92.345;15.09299479;
IRIDIUM;33;DEB;;;;;;
1;33873U;97051AS;16151.21507;0.00001564;00000-0;36167-3;0;9995
2;33873;86.3706;65.964;24311;48.713;311.6165;14.54407755;
IRIDIUM;33;DEB;;;;;;
1;33874U;97051AT;16151.91079;0.00001293;00000-0;48196-3;0;9991
2;33874;86.2908;81.9152;79927;234.1312;170.1418;14.29523318;
IRIDIUM;33;DEB;;;;;;
1;33875U;97051AU;16151.21791;0.00002612;00000-0;46146-3;0;9991
2;33875;86.4107;59.4179;32480;317.6429;194.5834;14.66731478;
IRIDIUM;33;DEB;;;;;;
1;33876U;97051AV;16152.15545;0.00007225;00000-0;10985-2;0;9995
2;33876;86.205;9.3961;19793;317.7261;165.7861;14.73757923;
IRIDIUM;33;DEB;;;;;;
1;33878U;97051AX;16151.29108;0.00004696;00000-0;14997-2;0;9994
2;33878;86.3104;93.3975;102668;227.535;131.7136;14.36532224;
IRIDIUM;33;DEB;;;;;;
1;33879U;97051AY;16151.49883;0.00002518;00000-0;45235-3;0;9994
2;33879;86.3616;56.1322;19279;342.1642;17.8892;14.662075;
IRIDIUM;33;DEB;;;;;;
1;33881U;97051BA;16151.20146;0.00000978;00000-0;41262-3;0;9997
2;33881;86.3882;117.6196;81667;293.7739;159.0243;14.22959106;
IRIDIUM;33;DEB;;;;;;
1;33882U;97051BB;16126.9918;0.25361561;-14387;84206-2;0;9998
2;33882;86.2834;13.8337;14926;290.6744;70.3323;16.25599141;
IRIDIUM;33;DEB;;;;;;
1;33884U;97051BD;16152.23801;0.00001288;00000-0;36170-3;0;9991
2;33884;86.3834;74.2318;9124;171.1584;350.8816;14.45228371;
IRIDIUM;33;DEB;;;;;;
1;33886U;97051BF;16151.20622;0.00000177;00000-0;57077-4;0;9992
2;33886;86.385;87.3944;16770;82.4101;42.0476;14.33118088;
IRIDIUM;33;DEB;;;;;;
1;33887U;97051BG;16151.86349;0.00000122;00000-0;35916-4;0;9992
2;33887;86.3071;58.9233;8953;90.1781;356.1609;14.34820713;
IRIDIUM;33;DEB;;;;;;
1;33888U;97051BH;16152.21658;0.00001594;00000-0;51202-3;0;9993
2;33888;86.3255;78.3608;56309;112.4995;248.2177;14.37935274;
IRIDIUM;33;DEB;;;;;;
1;33950U;97051BK;16152.19398;0.00004606;00000-0;10279-2;0;9993
2;33950;86.3841;75.2704;16019;325.0376;34.9779;14.56581033;
IRIDIUM;33;DEB;;;;;;
1;33951U;97051BL;16151.2066;0.00057162;00000-0;35367-2;0;9991
2;33951;86.4164;80.8706;3831;112.3496;25.4333;15.09563592;
IRIDIUM;33;DEB;;;;;;
1;33952U;97051BM;16150.76844;0.00002201;00000-0;52568-3;0;9990
2;33952;86.3542;64.3696;18393;29.9284;330.2969;14.53172602;
IRIDIUM;33;DEB;;;;;;
1;33953U;97051BN;16151.36064;0.0000082;00000-0;26570-3;0;9996
2;33953;86.3942;89.1533;25701;75.314;53.4232;14.37654086;
IRIDIUM;33;DEB;;;;;;
1;33954U;97051BP;16152.16685;0.00004241;00000-0;10065-2;0;9993
2;33954;86.3827;82.5542;13269;344.049;115.8477;14.53728669;
IRIDIUM;33;DEB;;;;;;
1;33955U;97051BQ;16151.51566;0.00008613;00000-0;17898-2;0;9994
2;33955;86.3622;83.8132;44097;36.8935;323.5294;14.59389984;
IRIDIUM;33;DEB;;;;;;
1;33956U;97051BR;16151.34955;0.00009624;00000-0;17715-2;0;9998
2;33956;86.4143;91.329;11324;148.3469;328.3746;14.6546512;
IRIDIUM;33;DEB;;;;;;
1;33959U;97051BU;16150.86951;-0.00000646;00000-0;-24832;0;9994
2;33959;86.3581;102.1383;76123;204.6062;155.1493;14.30431604;
IRIDIUM;33;DEB;;;;;;
1;33960U;97051BV;16152.23596;0.00001256;00000-0;35100-3;0;9991
2;33960;86.2754;41.267;2102;84.7222;40.143;14.4547835;
IRIDIUM;33;DEB;;;;;;
1;33961U;97051BW;16151.46086;0.00004423;00000-0;91665-3;0;9995
2;33961;86.2736;40.2916;31139;9.0092;351.167;14.59735966;
IRIDIUM;33;DEB;;;;;;
1;33962U;97051BX;16151.83664;0.00004168;00000-0;90723-3;0;9993
2;33962;86.3543;63.8374;13006;20.5183;65.5924;14.57732979;
IRIDIUM;33;DEB;;;;;;
1;33964U;97051BZ;16151.66964;0.00023557;00000-0;19230-2;0;9995
2;33964;86.3244;36.2888;16942;27.5257;27.5095;14.99196455;
IRIDIUM;33;DEB;;;;;;
1;33965U;97051CA;16151.27966;0.00002244;00000-0;58984-3;0;9992
2;33965;86.3717;72.8751;10988;7.0373;353.0983;14.487205;
IRIDIUM;33;DEB;;;;;;
1;33966U;97051CB;16152.17161;0.00000432;00000-0;13089-3;0;9995
2;33966;86.3972;81.3676;7247;182.1296;278.1708;14.40060937;
IRIDIUM;33;DEB;;;;;;
1;33967U;97051CC;16151.45403;0.00002317;00000-0;49796-3;0;9997
2;33967;86.3877;73.8872;36561;336.7436;23.2117;14.5775818;
IRIDIUM;33;DEB;;;;;;
1;34071U;97051CE;16152.16179;0.00000537;00000-0;16823-3;0;9994
2;34071;86.3506;69.9348;10497;73.5997;286.6354;14.38781752;
IRIDIUM;33;DEB;;;;;;
1;34075U;97051CJ;16151.32736;0.00129429;00000-0;52559-2;0;9992
2;34075;86.4478;86.9451;10912;172.7767;187.3637;15.23985369;
IRIDIUM;33;DEB;;;;;;
1;34076U;97051CK;16151.83693;0.00006669;00000-0;91418-3;0;9997
2;34076;86.3342;32.8494;43046;291.5383;196.656;14.77663361;
IRIDIUM;33;DEB;;;;;;
1;34077U;97051CL;16152.13496;0.00001083;00000-0;34972-3;0;9998
2;34077;86.3961;90.8494;21793;39.5834;57.3505;14.38150449;
IRIDIUM;33;DEB;;;;;;
1;34079U;97051CN;16151.83905;0.00001234;00000-0;33198-3;0;9990
2;34079;86.3916;75.3979;10297;148.0297;270.9259;14.47283867;
IRIDIUM;33;DEB;;;;;;
1;34081U;97051CQ;16152.19107;0.00011489;00000-0;10883-2;0;9991
2;34081;86.3037;23.2575;32618;338.8244;147.2531;14.93100206;
IRIDIUM;33;DEB;;;;;;
1;34082U;97051CR;16151.11847;0.00007902;00000-0;21569-2;0;9993
2;34082;86.3684;126.9896;148656;10.5671;349.8592;14.40848482;
IRIDIUM;33;DEB;;;;;;
1;34086U;97051CV;16151.29976;0.00002314;00000-0;71673-3;0;9994
2;34086;86.3876;93.0905;31570;64.3007;88.7955;14.40531585;
IRIDIUM;33;DEB;;;;;;
1;34088U;97051CX;16152.22925;0.00001482;00000-0;43412-3;0;9993
2;34088;86.4035;86.2995;12213;43.0263;81.4295;14.43284583;
IRIDIUM;33;DEB;;;;;;
1;34090U;97051CZ;16151.27435;0.00006034;00000-0;80528-3;0;9993
2;34090;86.4158;63.4474;17837;13.9155;346.2554;14.79321782;
IRIDIUM;33;DEB;;;;;;
1;34091U;97051DA;16151.13683;0.00001145;00000-0;43896-3;0;9990
2;34091;86.3694;104.2666;68229;217.66;270.2945;14.28502547;
IRIDIUM;33;DEB;;;;;;
1;34093U;97051DC;16152.08231;0.00008314;00000-0;83897-3;0;9997
2;34093;86.2971;12.6376;19282;204.3185;316.5308;14.90831227;
IRIDIUM;33;DEB;;;;;;
1;34095U;97051DE;16151.30493;0.00004753;00000-0;11492-2;0;9994
2;34095;86.3817;85.9982;59411;42.2665;318.3096;14.51833059;
IRIDIUM;33;DEB;;;;;;
1;34097U;97051DG;16152.20325;0.00001205;00000-0;54560-3;0;9996
2;34097;86.2067;65.4136;101425;321.5071;165.3919;14.18580307;
IRIDIUM;33;DEB;;;;;;
1;34098U;97051DH;16151.53915;0.00004809;00000-0;78226-3;0;9990
2;34098;86.1377;343.3409;19006;326.4586;85.2809;14.70773036;
IRIDIUM;33;DEB;;;;;;
1;34099U;97051DJ;16151.25624;0.00003717;00000-0;84878-3;0;9995
2;34099;86.3669;72.1247;14934;333.5228;179.7759;14.55472374;
IRIDIUM;33;DEB;;;;;;
1;34101U;97051DL;16152.18918;0.00004292;00000-0;14896-2;0;9997
2;34101;86.378;122.6589;116090;324.9944;34.3656;14.31651911;
IRIDIUM;33;DEB;;;;;;
1;34102U;97051DM;16151.23733;0.00002516;00000-0;10445-2;0;9998
2;34102;86.3793;130.5196;122351;17.6736;42.8229;14.22169408;
IRIDIUM;33;DEB;;;;;;
1;34103U;97051DN;16151.842;0.00002785;00000-0;69057-3;0;9991
2;34103;86.3491;70.2407;16091;255.6332;140.858;14.51529233;
IRIDIUM;33;DEB;;;;;;
1;34104U;97051DP;16151.23403;0.00004648;00000-0;85596-3;0;9998
2;34104;86.3442;50.1275;18809;81.7056;36.0952;14.6528244;
IRIDIUM;33;DEB;;;;;;
1;34105U;97051DQ;16152.19264;0.0000604;00000-0;78908-3;0;9995
2;34105;86.3505;56.6879;12879;105.0396;255.2251;14.80279041;
IRIDIUM;33;DEB;;;;;;
1;34106U;97051DR;16151.29867;0.00001622;00000-0;42081-3;0;9999
2;34106;86.3647;66.4574;15243;160.5618;321.5443;14.4913634;
IRIDIUM;33;DEB;;;;;;
1;34107U;97051DS;16151.48474;0.00003177;00000-0;79335-3;0;9995
2;34107;86.384;72.6553;17185;163.9233;247.9066;14.51217687;
IRIDIUM;33;DEB;;;;;;
1;34143U;97051DW;16151.24135;0.00003484;00000-0;76613-3;0;9998
2;34143;86.3926;77.4769;11007;341.1155;181.7908;14.57236092;
IRIDIUM;33;DEB;;;;;;
1;34145U;97051DY;16152.21031;0.00000715;00000-0;27746-3;0;9993
2;34145;86.2204;52.5185;64537;210.0493;149.699;14.27446835;
IRIDIUM;33;DEB;;;;;;
